#PRODUCTID;SKU;TITLE;QUANTITY;PURCHASE_PRICE;VENDOR;SERIAL;PURCHASE_DATE;MERCI_STATUS
75;"AMS007841";"Ams" size;"1";"0.00";"";"";"";"surplus" 
76;"AMS666666";"Ams" size;"1";"0.00";"";"";"";"lost" 
77;"ANIMALTRP";"Animaltrp" size;"1";"0.00";"";"";"";"available" 
78;"ANISTRL01";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
79;"ANISTRL02";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
80;"ANISTRL03";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
81;"ANISTRL04";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
82;"ANISTRL05";"Strobotop Lightphase Animator" size;"1";"0.00";"";"";"";"available" 
83;"ANM019357";"Anemometer" size;"1";"0.00";"";"";"";"lost" 
84;"ANM019358";"Anemometer, Florite" size;"1";"0.00";"";"";"";"surplus" 
85;"ANM019359";"Anemometer, Florite" size;"1";"0.00";"";"";"";"lost" 
86;"ANM026587";"Motion Analyzer" size;"1";"0.00";"";"";"";"available" 
87;"ANPA18966";"Polarograph, Accessory, Magnetic Stirrer" size;"1";"0.00";"";"";"";"lost" 
88;"ANPA18967";"Polarograph, Accessory, Recorder" size;"1";"0.00";"";"";"";"surplus" 
89;"ANPA18968";"Polarograph, Accessory" size;"1";"0.00";"";"";"";"surplus" 
90;"ANS018876";"Spectrum Analyzer" size;"1";"0.00";"";"";"";"lost" 
91;"ANS026428";"Spectrometer, Liquid Scintillation Counter" size;"1";"0.00";"";"";"";"available" 
92;"ANW019030";"Analyzer, Water" size;"1";"0.00";"";"";"";"surplus" 
93;"APB025931";"Breathing Apparatus" size;"1";"0.00";"";"";"";"surplus" 
94;"APB025932";"Breathing Apparatus" size;"1";"0.00";"";"";"";"surplus" 
95;"APC019608";"Conductivity Apparatus" size;"1";"0.00";"";"";"";"lost" 
96;"APE016696";"Density Extraction Apparatus" size;"1";"0.00";"";"";"";"lost" 
97;"APM008531";"Motion, Wave Apparatus" size;"1";"0.00";"";"";"";"surplus" 
98;"APPA08531";"Motion, Wave Apparatus" size;"1";"0.00";"";"";"";"lost" 
99;"APS007948";"Color Apparatus, Singerman" size;"1";"0.00";"";"";"";"available" 
100;"APW008504";"Warburg Apparatus" size;"1";"0.00";"";"";"";"surplus" 
101;"APW008505";"Warburg Apparatus" size;"1";"0.00";"";"";"";"surplus" 
102;"AQCA00001";"In-line Water Chiller" size;"1";"0.00";"";"";"";"available" 
103;"AQCA00002";"In-line Water Chiller" size;"1";"0.00";"";"";"";"available" 
104;"AQCA20101";"Aqca" size;"1";"0.00";"";"";"";"lost" 
105;"AQCA20102";"Aqca" size;"1";"0.00";"";"";"";"lost" 
106;"AQDC20101";"Aqdc" size;"1";"0.00";"";"";"";"available" 
107;"AQDC20102";"Aqdc" size;"1";"0.00";"";"";"";"available" 
108;"AQDC20103";"Aqdc" size;"1";"0.00";"";"";"";"available" 
109;"AQEJ00001";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"lost" 
110;"AQEJ00002";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"none" 
111;"AQEJ00003";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"surplus" 
112;"AQEJ00004";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"lost" 
113;"AQEJ00005";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"lost" 
114;"AQEJ00006";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"broken" 
115;"AQEJ00007";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"none" 
116;"AQEJ00008";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"none" 
117;"AQEJOOOO2";"Aquarium Heater, 150w, Ebo-jager" size;"1";"0.00";"";"";"";"surplus" 
118;"AQFS20101";"Aqfs" size;"1";"0.00";"";"";"";"available" 
119;"AQFS20102";"Aqfs" size;"1";"0.00";"";"";"";"available" 
120;"AQFS20103";"Aqfs" size;"1";"0.00";"";"";"";"available" 
121;"AQFS20104";"Aqfs" size;"1";"0.00";"";"";"";"available" 
122;"AQFS20105";"Aqfs" size;"1";"0.00";"";"";"";"available" 
123;"AQG005981";"Aquarium, 100gal, Refrigerated" size;"1";"0.00";"";"";"";"surplus" 
124;"AQG005982";"Aquarium, 100gal, Refrigerated" size;"1";"0.00";"";"";"";"available" 
125;"AQG006084";"Aquarium" size;"1";"0.00";"";"";"";"surplus" 
126;"AQG018220";"Aquarium, Heated" size;"1";"0.00";"";"";"";"surplus" 
127;"AQG018221";"Aquarium" size;"1";"0.00";"";"";"";"surplus" 
128;"AQG019056";"Aquarium, 35gal, Jewel" size;"1";"0.00";"";"";"";"surplus" 
129;"AQR019055";"Aquarium, Refrigerated, 35gal, Jewel" size;"1";"0.00";"";"";"";"surplus" 
130;"AQS005983";"Aquarium" size;"1";"0.00";"";"";"";"lost" 
131;"AQS005984";"Aquarium" size;"1";"0.00";"";"";"";"available" 
132;"AQS005985";"Aquarium" size;"1";"0.00";"";"";"";"lost" 
133;"AQTA00001";"Digital Temp Controller" size;"1";"0.00";"";"";"";"available" 
134;"AQTA00002";"Digital Temp Controller" size;"1";"0.00";"";"";"";"available" 
135;"AQUARIUM0";"Aquarium" size;"1001";"0.00";"";"";"";"none" 
136;"AQUFILTER";"Aqufilter" size;"1000";"0.00";"";"";"";"none" 
137;"ASPB00001";"Aspirator, Water, Circulating, Brinkmann" size;"1";"0.00";"";"";"";"available" 
138;"ATAB00001";"Spectrophotometer, Aa, Accessory, Burner Control" size;"1";"0.00";"";"";"";"available" 
139;"ATAB12345";"Spectrophotometer, Aa, Accessory, Burner Control" size;"1";"0.00";"";"";"";"available" 
140;"ATAC12349";"Spectrophotometer, Aa, Accessory, Controller" size;"1";"0.00";"";"";"";"lost" 
141;"ATAD12348";"Spectrophotometer, Aa, Accessory, Digital Readout" size;"1";"0.00";"";"";"";"lost" 
142;"ATAL12342";"Spectrophotometer, Aa, Accessory, Power Supply" size;"1";"0.00";"";"";"";"lost" 
143;"ATAL12343";"Spectrophotometer, Aa, Accessory, Power Supply Deuterium Lamp" size;"1";"0.00";"";"";"";"lost" 
144;"ATAP12336";"Spectrophotometer, Aa, Accessory, Power Supply" size;"1";"0.00";"";"";"";"available" 
145;"ATAP17459";"Spectrophotometer, Aa, Accessory, Power Supply" size;"1";"0.00";"";"";"";"available" 
146;"ATAR12347";"Spectrophotometer, Aa, Accessory, Controller" size;"1";"0.00";"";"";"";"surplus" 
147;"ATAT12346";"Spectrophotometer, Aa, Accessory, Readout" size;"1";"0.00";"";"";"";"surplus" 
148;"ATLAS0001";"Book, Atlas, Washington" size;"1";"0.00";"";"";"";"none" 
149;"ATLAS0002";"Book, Atlas, Washington" size;"1";"0.00";"";"";"";"none" 
150;"ATLAS0003";"Book, Atlas, Washington" size;"1";"0.00";"";"";"";"none" 
151;"ATLAS0004";"Book, Atlas, Washington" size;"1";"0.00";"";"";"";"lost" 
152;"ATLAS0005";"California Gazetteer" size;"1";"0.00";"";"";"";"none" 
153;"ATLAS0006";"Atlas" size;"1";"0.00";"";"";"";"none" 
154;"ATLAS0007";"Atlas" size;"1";"0.00";"";"";"";"none" 
155;"AUGE00002";"Auger, Soil, Accessory, Handle" size;"1";"0.00";"";"";"";"lost" 
156;"AUGE00003";"Auger, Soil" size;"1";"0.00";"";"";"";"none" 
157;"AUGE00004";"Auger, Soil" size;"1";"0.00";"";"";"";"lost" 
158;"AUGE00005";"Auger, Soil" size;"1";"0.00";"";"";"";"none" 
159;"AUGER0001";"Auger" size;"1";"0.00";"";"";"";"lost" 
160;"AUP008146";"Power Supply, Autotransformer" size;"1";"0.00";"";"";"";"none" 
161;"AUP008147";"Power Supply, Autotransformer" size;"1";"0.00";"";"";"";"surplus" 
162;"AUP010151";"Power Supply, Autotransformer" size;"1";"0.00";"";"";"";"surplus" 
163;"AUP010152";"Power Supply, Autotransformer" size;"1";"0.00";"";"";"";"surplus" 
164;"BAA000001";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"available" 
165;"BAA000002";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"lost" 
166;"BAA000003";"Balance, Tl, Acculab" size;"1";"0.00";"";"";"";"available" 
